student,week,question_id,session_id,created_at,trigger_source,trigger_surface,question_type,error_source,error_code,error_severity,max_level_reached,cache_hit,helpful_rating,self_reported_outcome,post_confidence,help_latency_ms,edits_before_ask,recurring_error_count,recurring_concept_count,ms_since_previous_same_error,selection_line_count,selection_char_count,latency_ms,prompt_tokens,completion_tokens
S20,2,a7fac9b8-d550-41c3-a530-f100e3167474,037657c4-5805-40e4-84bc-14f719e5902e,2030-03-12T08:26:29.111Z,selection,command_palette,what_does_this_do,,,,2,0,,solved,,,,0,0,,4,152,2875,1889,512
S02,2,0e568621-1049-4221-80a4-b6498aff7b33,fa793d6f-e8be-4ca8-9500-f8e705df7411,2030-03-12T08:26:50.008Z,diagnostic,diagnostic_lightbulb,what_does_this_mean,Pylance,reportUndefinedVariable,error,3,0,-1,,maybe,5131,2,2,2,3325035,,,4420,2264,466
S03,2,1caaae7f-e640-4d10-b878-c308c00ea4e1,a567b05b-5b3c-4f19-ab05-e66c17f644d7,2030-03-12T08:27:44.675Z,selection,selection_lightbulb,what_does_this_do,,,,2,0,,solved,,,,0,0,,5,105,4685,2070,578
S05,2,fcf44cce-ab21-4a1c-9d54-45030c9ad51f,2799cefe-9ecd-4e34-9301-1c51a3f20ca1,2030-03-12T08:28:44.848Z,selection,selection_codelens,what_does_this_do,,,,0,0,,solved,no,,,0,0,,33,1089,2838,1927,718
S20,2,5deb3838-df70-47b1-9553-5f68644386e7,037657c4-5805-40e4-84bc-14f719e5902e,2030-03-12T08:28:53.043Z,selection,selection_codelens,what_does_this_do,,,,0,1,,,,,,0,1,,9,351,,,
S06,2,5c91805f-e8ba-402b-941e-7b58f1c2e09c,0fa23d54-1180-40f9-93b3-428b26f28ebe,2030-03-12T08:29:53.326Z,diagnostic,diagnostic_codelens,what_does_this_mean,Pylance,reportArgumentType,error,0,0,1,solved,,21383,1,2,3,1402916,,,6287,1584,582
S02,2,728f792b-998c-4d7c-9a67-0bf8fcc25f23,fa793d6f-e8be-4ca8-9500-f8e705df7411,2030-03-12T08:30:00.572Z,selection,selection_codelens,what_does_this_do,,,,2,0,1,solved,no,,,0,0,,5,190,7109,1702,489
S01,2,ae1765fe-a7ab-4769-842a-9878c23da275,99d9cfb0-18df-4f73-bc1c-05210330cbbc,2030-03-12T08:30:11.453Z,selection,sidebar_button,what_does_this_do,,,,0,0,1,,,,,0,2,,4,112,3260,1520,390
S24,2,e229a47f-ec52-4bc5-827e-75636900c7b0,0cbf9c01-a428-4d8e-8793-f436f772ff58,2030-03-12T08:31:47.877Z,selection,selection_codelens,why_works,,,,2,0,1,solved,,,,0,0,,29,841,4494,1532,415
S12,2,b8404dac-53b5-4c9e-8bfc-0a065487d3d9,c8b5449c-610d-4cac-aaef-10cb89b56f0f,2030-03-12T08:32:01.529Z,selection,selection_codelens,whats_wrong,,,,0,0,,,yes,,,0,1,,1,24,2463,1534,615
S23,2,898f38f7-7c81-482e-9cc4-c482ea2038d4,38d8d009-5a07-4f58-ae0f-62d598b5ddac,2030-03-12T08:33:22.025Z,selection,selection_keybinding,why_works,,,,0,0,1,,maybe,,,0,2,,4,72,3626,1799,528
S17,2,3388f99e-fb5c-4c95-b9d8-8901b5054fb5,f076f835-e4b6-49f7-8046-346693acf220,2030-03-12T08:33:28.731Z,selection,selection_status_bar,free_text,,,,0,0,1,solved,,,,0,1,,26,988,6248,1760,464
S07,2,a89d75ec-a011-4657-a467-a37ff3c70fb5,3c2194d2-3c32-4ec1-8eb1-e8d2251c5915,2030-03-12T08:34:06.942Z,diagnostic,diagnostic_lightbulb,what_does_this_mean,Pylance,,error,0,0,1,solved,no,13648,5,0,0,,,,3580,1530,518
S13,2,152091f5-72c9-430b-ab99-619341dea5da,32e1c7ce-7692-4995-b1e1-2eb197a643f2,2030-03-12T08:34:54.183Z,selection,selection_keybinding,what_does_this_do,,,,3,0,1,still_stuck,,,,0,2,,5,145,6179,1685,561
S21,2,b88ea8ca-9426-44d3-b18f-5672129dccb9,23974e8d-fb0d-4f81-841f-f910cbb6c649,2030-03-12T08:35:07.548Z,selection,selection_lightbulb,what_does_this_do,,,,0,0,,,,,,0,1,,35,945,5215,1897,466
S06,2,ad87ab56-26ae-4465-9126-4cb01df8f70f,0fa23d54-1180-40f9-93b3-428b26f28ebe,2030-03-12T08:36:05.769Z,selection,selection_status_bar,what_does_this_do,,,,2,0,1,,,,,0,0,,2,60,3139,1667,586
S20,2,73fab739-b24c-4fa4-901d-5f75af5da21e,037657c4-5805-40e4-84bc-14f719e5902e,2030-03-12T08:38:39.634Z,selection,sidebar_button,what_does_this_do,,,,2,0,,solved,,,,0,2,,1,22,3154,1819,504
S02,2,fe68db2e-9063-400e-a8c5-c20f03acdac6,fa793d6f-e8be-4ca8-9500-f8e705df7411,2030-03-12T08:40:08.875Z,selection,selection_lightbulb,free_text,,,,3,1,,solved,,,,0,1,,3,69,,,
S07,2,62b3ec96-b58b-4205-b877-19c6268c3d2b,3c2194d2-3c32-4ec1-8eb1-e8d2251c5915,2030-03-12T08:41:34.824Z,diagnostic,diagnostic_lightbulb,what_does_this_mean,Pylance,reportOperatorIssue,error,3,0,1,solved,no,17192,2,3,3,2097042,,,2953,1565,429
S07,2,c16b5f19-cf80-4132-b2e5-bd4bf38a37af,3c2194d2-3c32-4ec1-8eb1-e8d2251c5915,2030-03-12T08:42:15.699Z,diagnostic,diagnostic_codelens,what_does_this_mean,Pylance,reportUndefinedVariable,error,0,0,,solved,,3421,4,1,1,609792373,,,6513,1677,469
S05,2,4d99567c-95ff-43b8-ba69-dfe5103e535f,2799cefe-9ecd-4e34-9301-1c51a3f20ca1,2030-03-12T08:42:52.527Z,selection,selection_keybinding,simpler_example,,,,3,0,,solved,,,,0,1,,3,102,4305,1515,675
S10,2,59c1a7ca-5c82-4477-8c4c-5c023c99d9e5,93dd6581-ea24-44f7-81f4-ff99afd765dd,2030-03-13T15:50:23.332Z,diagnostic,diagnostic_gutter_hover,what_does_this_mean,Pylance,reportPossiblyUnbound,warning,0,0,1,,yes,16588,0,0,0,,,,4643,2018,535
S10,2,d172fd7f-99be-47e4-a1b1-17e089c8d173,93dd6581-ea24-44f7-81f4-ff99afd765dd,2030-03-13T15:53:22.430Z,selection,selection_keybinding,simpler_example,,,,0,0,,solved,maybe,,,0,0,,3,126,4512,1815,421
S23,2,5cf2e114-86d8-43c6-850d-533ca070a43f,5dd480c4-2865-452f-a655-2cb0d4364b26,2030-03-13T16:16:53.063Z,diagnostic,diagnostic_lightbulb,what_does_this_mean,Pylance,,error,0,0,,,maybe,12106,2,2,2,116019615,,,3982,1636,552
S23,2,7c713d43-bf7a-4eff-b971-51b5c2b7046e,5dd480c4-2865-452f-a655-2cb0d4364b26,2030-03-13T16:23:17.151Z,selection,selection_keybinding,what_does_this_do,,,,3,0,,,,,,0,3,,5,175,3469,1843,586
S23,2,3279a4cb-07fb-4337-87a2-67a3009eee38,5dd480c4-2865-452f-a655-2cb0d4364b26,2030-03-13T16:25:12.260Z,selection,selection_codelens,what_does_this_do,,,,0,0,1,solved,,,,0,4,,5,170,2026,1540,537
S09,2,b79d88cb-62a2-4b8e-ad3c-37dbcb32652b,2395854c-d9e8-40b3-bbe4-c3c75f594aca,2030-03-13T17:23:46.994Z,diagnostic,diagnostic_gutter_hover,what_does_this_mean,Pylance,,error,3,1,1,solved,,88156,3,1,1,120356447,,,,,
S09,2,4bb5f67a-bb90-4cec-93ea-32a09655ec28,2395854c-d9e8-40b3-bbe4-c3c75f594aca,2030-03-13T17:27:53.868Z,diagnostic,diagnostic_codelens,what_does_this_mean,Pylance,reportUndefinedVariable,error,0,0,1,,,21062,0,1,1,726452785,,,3019,1446,605
S08,2,f77dbc27-4a98-40bc-bad4-d591e6761c89,7258119d-c962-487b-97d5-695f048050a1,2030-03-13T18:40:54.530Z,diagnostic,diagnostic_lightbulb,what_does_this_mean,Pylance,reportPossiblyUnbound,warning,0,0,1,solved,,170984,6,0,0,,,,3128,1598,495
S08,2,bb78db1e-101e-4c29-abc4-34d877cd1637,7258119d-c962-487b-97d5-695f048050a1,2030-03-13T18:43:48.712Z,diagnostic,diagnostic_lightbulb,what_does_this_mean,Pylance,,error,0,0,1,solved,,80908,4,0,0,,,,4594,1635,488
S11,2,f2f2f1b6-e67b-4332-bc7a-ad71e7a8c921,fc209d8c-2400-428a-9bc0-c9116f1b63d2,2030-03-15T14:16:49.789Z,selection,selection_keybinding,simpler_example,,,,0,0,,,yes,,,0,2,,4,124,2985,1813,539
S11,2,1dc18728-6ce6-41a5-a40e-721864212689,fc209d8c-2400-428a-9bc0-c9116f1b63d2,2030-03-15T14:44:57.365Z,selection,selection_codelens,whats_wrong,,,,0,0,,still_stuck,yes,,,0,3,,3,120,3230,2029,708
S14,2,c8c431c2-6c10-4201-ab16-c031d326478f,b8325e94-686a-4e4f-98e5-1fe194939dcc,2030-03-15T15:44:51.451Z,diagnostic,diagnostic_gutter_hover,what_does_this_mean,Pylance,reportUndefinedVariable,error,3,0,1,,no,2800,2,1,1,891814923,,,2639,2143,545
S14,2,018296bf-29c3-41b8-b787-16fcf12de564,b8325e94-686a-4e4f-98e5-1fe194939dcc,2030-03-15T16:04:03.733Z,diagnostic,diagnostic_lightbulb,what_does_this_mean,Pylance,reportUndefinedVariable,error,3,0,1,,,23376,0,2,2,1152282,,,4451,1562,520
S14,2,5429670b-3eb2-4082-a0af-e81236e8df22,b8325e94-686a-4e4f-98e5-1fe194939dcc,2030-03-15T16:06:23.030Z,diagnostic,diagnostic_codelens,what_does_this_mean,Pylance,,error,2,0,1,solved,no,20527,1,3,3,893745545,,,3040,1525,493
S14,2,b1961916-66bc-4e97-804d-8495159c2e6b,b8325e94-686a-4e4f-98e5-1fe194939dcc,2030-03-15T16:19:34.341Z,diagnostic,diagnostic_codelens,what_does_this_mean,Pylance,reportArgumentType,error,3,0,,,,21816,4,0,1,,,,2110,1790,499
S14,2,56ab35b8-f86c-4574-b975-facd6202b279,b8325e94-686a-4e4f-98e5-1fe194939dcc,2030-03-15T16:34:15.493Z,diagnostic,diagnostic_codelens,what_does_this_mean,Pylance,reportUnusedExpression,warning,3,0,-1,,,17562,1,1,1,896340708,,,3882,2112,515
S14,2,9ede57b7-b349-4599-88a7-2bb20053940a,b8325e94-686a-4e4f-98e5-1fe194939dcc,2030-03-15T16:43:34.830Z,diagnostic,diagnostic_codelens,what_does_this_mean,Pylance,reportOperatorIssue,error,3,0,,,no,7205,2,1,2,897232416,,,2888,1773,413
S14,2,5c181558-0079-4b28-8cba-78e55ba080ec,b8325e94-686a-4e4f-98e5-1fe194939dcc,2030-03-15T16:43:35.152Z,diagnostic,diagnostic_codelens,what_does_this_mean,Pylance,reportAttributeAccessIssue,error,0,0,,solved,no,4602,3,0,0,,,,10635,1714,452
S14,2,20390291-2fb6-4230-92ad-08779832204e,b8325e94-686a-4e4f-98e5-1fe194939dcc,2030-03-15T16:46:24.972Z,selection,sidebar_button,what_does_this_do,,,,2,0,,,maybe,,,0,0,,39,1170,3142,1517,481
S24,2,cfce5bbd-78d4-48cb-82f6-50bf4f0f9608,f755ee7e-ba5a-44bf-b606-82dc638ec8db,2030-03-15T19:06:40.134Z,diagnostic,diagnostic_gutter_hover,what_does_this_mean,Pylance,,error,0,0,1,,maybe,57480,1,1,1,300208113,,,3472,1520,476
S24,2,d6c4cafa-69c9-4285-8702-e2a83c3b914f,f755ee7e-ba5a-44bf-b606-82dc638ec8db,2030-03-15T19:09:02.836Z,diagnostic,diagnostic_codelens,what_does_this_mean,Pylance,reportOperatorIssue,error,2,1,1,solved,yes,20524,5,0,0,,,,,,
S24,2,bdbce570-e320-445c-94a7-e0e82291ea44,f755ee7e-ba5a-44bf-b606-82dc638ec8db,2030-03-15T19:21:55.815Z,diagnostic,diagnostic_codelens,what_does_this_mean,Pylance,reportPossiblyUnbound,warning,3,0,,solved,,56815,5,1,1,301838021,,,5104,1453,551
S01,2,1e438424-9a1b-4e05-9ca5-11622706b2e8,6855c2fb-94e1-4b91-9448-f87d1807df05,2030-03-16T19:13:08.871Z,diagnostic,diagnostic_lightbulb,what_does_this_mean,Pylance,reportPossiblyUnbound,warning,0,1,-1,,,63606,2,0,0,,,,,,
S01,2,bb0cf9cd-4dab-43e6-b8df-f17fe6e08129,6855c2fb-94e1-4b91-9448-f87d1807df05,2030-03-16T19:26:05.986Z,diagnostic,diagnostic_codelens,what_does_this_mean,Pylance,reportUnusedExpression,warning,0,0,1,solved,,57929,5,0,0,,,,5633,2299,478
S01,2,510537c0-83ca-4f52-b61d-7df907bfd68c,6855c2fb-94e1-4b91-9448-f87d1807df05,2030-03-16T19:32:47.873Z,selection,selection_codelens,whats_wrong,,,,0,0,,,,,,0,3,,4,88,3816,1808,621
S01,2,17185901-c0b4-407e-9c77-1ca8e5e8fe9a,6855c2fb-94e1-4b91-9448-f87d1807df05,2030-03-16T19:47:33.735Z,selection,command_palette,what_does_this_do,,,,0,0,1,,yes,,,0,4,,6,186,3409,1949,621
S01,2,e4eb1eef-5819-480e-abac-5935d6117d31,cfe40b47-2952-4240-bda8-a119e09f0b34,2030-03-17T16:01:12.994Z,diagnostic,diagnostic_lightbulb,what_does_this_mean,Pylance,,error,0,0,1,solved,,72840,2,0,0,,,,3277,1304,579
S09,2,a2474dbf-73bb-4eda-be20-5e4a943f8fa7,3582fddb-830c-43d8-bf2a-0d8d2735aaff,2030-03-17T16:12:25.001Z,diagnostic,diagnostic_lightbulb,what_does_this_mean,Pylance,,error,3,0,,,,34878,3,0,0,,,,3975,1684,590
S09,2,8bb424c7-fd70-4200-9169-bb6bff49e10b,3582fddb-830c-43d8-bf2a-0d8d2735aaff,2030-03-17T16:14:36.601Z,selection,selection_status_bar,whats_wrong,,,,3,0,1,,,,,0,1,,2,48,3677,1894,665
S01,2,ac7f0ba7-e8d1-4a5b-ae6a-2b21a265d673,cfe40b47-2952-4240-bda8-a119e09f0b34,2030-03-17T16:16:39.068Z,diagnostic,diagnostic_codelens,what_does_this_mean,Pylance,reportArgumentType,error,0,0,,,yes,32754,3,0,0,,,,3772,2265,599
S24,3,1d83c341-ead1-4091-b545-3fb9aac998ca,f88baae5-c53d-4212-a979-8f821e825967,2030-03-19T07:07:42.677Z,diagnostic,diagnostic_codelens,what_does_this_mean,Pylance,,error,0,0,,solved,maybe,79315,3,0,0,,,,5542,2133,776
S17,3,34b10137-35b1-4a23-ab4e-be1bedc9bc7f,e2434d30-2822-4b49-9b2e-494f29a85a3a,2030-03-19T07:09:47.592Z,diagnostic,diagnostic_gutter_hover,what_does_this_mean,Pylance,,error,0,0,1,,no,22383,2,0,0,,,,8215,1949,654
S05,3,81e89670-53e7-4f77-b259-fceefa9d4d27,a495f076-aff1-4a34-b303-f2595e7bc6d1,2030-03-19T07:10:20.580Z,diagnostic,diagnostic_codelens,what_does_this_mean,Pylance,,error,0,0,1,,yes,142585,1,0,0,,,,2605,1876,593
S18,3,333b2aeb-32b9-4efc-a065-a53c780faf4f,9f51433c-3207-4c24-ba88-2738a3a81cb8,2030-03-19T07:11:29.011Z,diagnostic,diagnostic_codelens,what_does_this_mean,Pylance,reportPossiblyUnbound,warning,0,0,1,,,80096,2,1,1,600423455,,,5039,1498,442
S21,3,8582baa5-3822-4a38-82d2-86cca6666d77,91b1bf0e-eef2-45b1-9550-6cfe94017aa0,2030-03-19T07:13:52.326Z,diagnostic,diagnostic_codelens,what_does_this_mean,Pylance,reportPossiblyUnbound,warning,2,0,,,,9731,0,0,0,,,,6873,2038,573
S20,3,a3de317f-b5b4-436e-9f85-85e4e8d8e01c,381daf77-05a1-4010-9527-d281c6fe5ce3,2030-03-19T07:15:39.131Z,diagnostic,diagnostic_codelens,what_does_this_mean,Pylance,reportPossiblyUnbound,warning,0,0,,,,82929,5,1,1,602327948,,,4874,1971,473
S07,3,5fc9737a-7847-4911-a92b-8cf3c169f89b,db3cdf5d-438c-4196-a851-ce946a41ce5d,2030-03-19T07:16:55.752Z,diagnostic,diagnostic_lightbulb,what_does_this_mean,Pylance,,error,0,0,,solved,,3520,4,1,1,1207641659,,,6609,1441,337
S23,3,4b07c9fa-e437-4bf2-8107-8c747da3813f,34576f02-220d-4d95-b59c-02300abc8ccb,2030-03-19T07:17:19.613Z,diagnostic,diagnostic_lightbulb,what_does_this_mean,Pylance,reportIndexIssue,error,3,0,1,still_stuck,,66739,1,0,0,,,,2905,1793,623
S02,3,1cec20ac-1510-44b5-9515-35b5428cb474,0090f565-299f-4255-8505-230aa9a5025a,2030-03-19T07:18:00.690Z,diagnostic,diagnostic_lightbulb,what_does_this_mean,Pylance,reportIndexIssue,error,3,0,1,still_stuck,,14766,5,0,0,,,,3435,1813,537
S02,3,682ab644-3dcc-4919-be52-e7e8da3e8d10,0090f565-299f-4255-8505-230aa9a5025a,2030-03-19T07:19:10.856Z,diagnostic,diagnostic_codelens,what_does_this_mean,Pylance,reportUndefinedVariable,error,3,0,,still_stuck,,39794,0,3,3,600740848,,,4697,1737,365
S07,3,188a8421-41d2-4a01-ad0d-729b37881b97,db3cdf5d-438c-4196-a851-ce946a41ce5d,2030-03-19T07:20:45.482Z,diagnostic,diagnostic_codelens,what_does_this_mean,Pylance,reportPossiblyUnbound,warning,3,0,1,,,33665,2,0,0,,,,4403,1844,438
S24,3,9a5ac8f2-7c29-438a-819b-5ea3ec1fde82,f88baae5-c53d-4212-a979-8f821e825967,2030-03-19T07:21:09.515Z,diagnostic,diagnostic_lightbulb,what_does_this_mean,Pylance,,error,3,0,1,still_stuck,maybe,64425,2,1,1,603016076,,,3058,1914,521
S10,3,fed1dc0d-5b49-424b-8e1e-0fafd13cb585,a6435771-812c-49fe-9268-4d80ca3b10bb,2030-03-19T07:21:44.165Z,diagnostic,diagnostic_codelens,what_does_this_mean,Pylance,,error,0,0,-1,,,33141,4,2,2,601906828,,,7607,1928,480
S09,3,ec74b828-2320-4003-b07c-875d2b7f6a23,d10ecbc9-88a1-4123-9305-c6bd8593cdb7,2030-03-19T07:22:13.708Z,diagnostic,diagnostic_codelens,what_does_this_mean,Pylance,reportArgumentType,error,0,0,,solved,maybe,45901,0,0,0,,,,3138,1952,723
S14,3,bdc64c22-3caf-41d7-8dbf-7852b1abe30a,3bf1ce46-8da9-42b9-aafb-efe194d964b5,2030-03-19T07:23:31.171Z,diagnostic,diagnostic_codelens,what_does_this_mean,Pylance,reportUndefinedVariable,error,3,0,1,solved,,23645,2,3,3,314367438,,,5726,1853,634
S02,3,080b7c79-cf5e-4c4c-9a87-9f4c62563ebc,0090f565-299f-4255-8505-230aa9a5025a,2030-03-19T07:23:45.989Z,diagnostic,diagnostic_codelens,what_does_this_mean,Pylance,,error,3,0,,still_stuck,no,57336,2,2,2,601782860,,,3287,2075,638
S14,3,14d65823-8d9b-49f0-8ee1-231d05b91200,3bf1ce46-8da9-42b9-aafb-efe194d964b5,2030-03-19T07:24:27.540Z,diagnostic,diagnostic_lightbulb,what_does_this_mean,Pylance,reportAttributeAccessIssue,error,3,0,-1,,no,30108,1,1,1,312052388,,,2732,2153,525
S06,3,962ad250-2707-4ac8-86c8-c58dc077627c,d7a1cec8-3c57-4631-bc05-0502b722e67f,2030-03-19T07:26:29.951Z,diagnostic,diagnostic_codelens,what_does_this_mean,Pylance,,error,0,0,1,,,16891,3,0,0,,,,5261,1943,524
S23,3,96d3a3e5-26c9-42b4-9e75-c8b25d61ecc3,34576f02-220d-4d95-b59c-02300abc8ccb,2030-03-19T07:27:46.045Z,diagnostic,diagnostic_lightbulb,what_does_this_mean,Pylance,,error,0,0,,,yes,102255,2,2,2,1208943976,,,2683,1861,705
S10,3,f7c48d8c-ac0a-41a6-acea-47b2d22623e6,a6435771-812c-49fe-9268-4d80ca3b10bb,2030-03-19T07:29:50.071Z,diagnostic,diagnostic_codelens,what_does_this_mean,Pylance,,error,0,0,,still_stuck,no,23885,2,1,1,605139531,,,3760,1606,409
S23,3,e5c6662b-8dbf-4522-949a-090115da5875,34576f02-220d-4d95-b59c-02300abc8ccb,2030-03-19T07:29:50.969Z,selection,command_palette,what_does_this_do,,,,3,0,,still_stuck,,,,0,0,,8,152,2178,2142,700
S09,3,a609d2cd-8375-4fc4-a8af-ea4e72a2e246,d10ecbc9-88a1-4123-9305-c6bd8593cdb7,2030-03-19T07:30:16.064Z,diagnostic,diagnostic_codelens,what_does_this_mean,Pylance,reportArgumentType,error,0,0,1,,,21428,4,1,1,482356,,,2871,1805,605
S18,3,1828c711-9183-4aab-9e1e-d64325b3d43d,9f51433c-3207-4c24-ba88-2738a3a81cb8,2030-03-19T07:31:06.525Z,diagnostic,diagnostic_codelens,what_does_this_mean,Pylance,,error,0,0,-1,,,9185,1,1,1,1208695489,,,5969,1812,706
S02,3,02e6f84d-f894-42d2-bedb-4650c99c0900,0090f565-299f-4255-8505-230aa9a5025a,2030-03-19T07:32:02.888Z,diagnostic,diagnostic_codelens,what_does_this_mean,Pylance,reportIndexIssue,error,0,0,1,,,9693,2,1,1,842198,,,4327,1625,479
S11,3,c990b542-30d7-4f71-9d8b-65cf701bcd5e,5084bb8d-e608-4929-99a8-e2917a11f121,2030-03-19T07:32:11.874Z,diagnostic,diagnostic_codelens,what_does_this_mean,Pylance,reportOperatorIssue,error,0,0,,,,15003,3,0,0,,,,3458,2243,496
S20,3,da002976-f7f0-4fad-8c7e-856d84ce3d98,381daf77-05a1-4010-9527-d281c6fe5ce3,2030-03-19T07:33:52.004Z,diagnostic,diagnostic_lightbulb,what_does_this_mean,Pylance,,error,3,0,1,,,112615,3,1,1,1206901972,,,3920,1943,473
S15,3,1c0addb9-c58d-4bfd-97b0-b73ebc307dc7,1788d594-6f2d-4574-9809-01d9f96a06fd,2030-03-19T07:35:12.769Z,diagnostic,diagnostic_codelens,what_does_this_mean,Pylance,reportAttributeAccessIssue,error,2,0,,,yes,28729,1,0,0,,,,2456,1790,515
S14,3,3b75b084-cc25-4c09-9d54-86db19b10ae4,3bf1ce46-8da9-42b9-aafb-efe194d964b5,2030-03-19T07:35:31.380Z,diagnostic,diagnostic_gutter_hover,what_does_this_mean,Pylance,reportPossiblyUnbound,warning,3,0,1,solved,,14693,4,0,0,,,,6299,1580,454
S09,3,37e47ef6-9fa1-445c-ae7b-51c82cc5492e,d10ecbc9-88a1-4123-9305-c6bd8593cdb7,2030-03-19T07:36:04.895Z,diagnostic,diagnostic_gutter_hover,what_does_this_mean,Pylance,reportPossiblyUnbound,warning,0,0,1,,,22109,1,0,0,,,,4778,1862,581
S03,3,841c5a66-c7b9-4690-a3b5-9b4455157a0d,ca2b99ad-d932-4466-91f5-70c6ac60edcf,2030-03-19T07:36:22.680Z,diagnostic,diagnostic_codelens,what_does_this_mean,Pylance,reportPossiblyUnbound,warning,0,0,1,,maybe,13672,1,0,0,,,,3822,1966,495
S01,3,421ce0c3-fac5-416e-a9da-18ad53a919f5,fb77f820-05e2-4417-a9de-c60f345c85d5,2030-03-19T07:36:54.360Z,diagnostic,diagnostic_gutter_hover,what_does_this_mean,Pylance,reportUndefinedVariable,error,0,0,,solved,,36227,4,0,0,,,,3013,1573,476
S14,3,76997d85-0d01-4f80-a3a1-5226d242413d,3bf1ce46-8da9-42b9-aafb-efe194d964b5,2030-03-19T07:39:12.026Z,diagnostic,diagnostic_gutter_hover,what_does_this_mean,Pylance,reportArgumentType,error,0,1,,,,19613,4,1,3,314377685,,,,,
S22,3,e19de6ef-1e3a-459f-a0b4-f2858f17a2ca,83c03f77-73cf-4822-9f79-11b264bdbbeb,2030-03-19T07:39:13.054Z,diagnostic,diagnostic_codelens,what_does_this_mean,Pylance,reportUnusedExpression,warning,3,0,,solved,,120789,1,1,1,1208303419,,,8399,1783,463
S19,3,a68a147b-c95d-425d-bdde-033e2f1f833f,4ebbcfc3-3b84-47c1-971e-ccc5435c614c,2030-03-19T07:39:38.465Z,diagnostic,diagnostic_gutter_hover,what_does_this_mean,Pylance,reportUnusedExpression,warning,0,1,,,maybe,99380,4,0,0,,,,,,
S22,3,5da7bd1c-ba6a-418c-a2b0-3e26ca14c2ee,83c03f77-73cf-4822-9f79-11b264bdbbeb,2030-03-19T07:41:09.591Z,diagnostic,diagnostic_codelens,what_does_this_mean,Pylance,reportArgumentType,error,3,0,,,no,43047,1,2,3,1206872485,,,6598,1611,519
S02,3,a4794054-156b-4a75-a4b5-5d6220d6e53f,0090f565-299f-4255-8505-230aa9a5025a,2030-03-19T07:41:20.014Z,diagnostic,diagnostic_codelens,what_does_this_mean,Pylance,reportArgumentType,error,2,0,1,solved,,100154,4,1,6,605416210,,,4910,2007,565
S22,3,38accd46-77fe-4a76-9472-7f71eecbc724,83c03f77-73cf-4822-9f79-11b264bdbbeb,2030-03-19T07:42:00.011Z,diagnostic,diagnostic_codelens,what_does_this_mean,Pylance,,error,0,0,,solved,no,29216,0,1,1,1208776714,,,4015,1998,473
S05,3,e518740c-0b34-4e43-b7cb-f97d91a8d115,a495f076-aff1-4a34-b303-f2595e7bc6d1,2030-03-19T07:43:22.925Z,diagnostic,diagnostic_codelens,what_does_this_mean,Pylance,reportIndexIssue,error,3,1,1,,,286702,0,0,0,,,,,,
S11,3,3ee70cf9-0d65-4fd7-b2e4-d827cfefd47d,5084bb8d-e608-4929-99a8-e2917a11f121,2030-03-19T07:44:13.776Z,selection,selection_codelens,what_does_this_do,,,,0,0,1,still_stuck,,,,0,0,,2,58,4550,1533,660
S18,3,a6e5e1c9-2b42-4d2f-9597-932454cc9cb6,9f51433c-3207-4c24-ba88-2738a3a81cb8,2030-03-19T07:44:45.838Z,diagnostic,diagnostic_gutter_hover,what_does_this_mean,Pylance,reportArgumentType,error,0,0,1,solved,,125913,2,0,0,,,,5639,1580,503
S09,3,3ea3d251-bc61-4f11-adba-0f35d934335b,d10ecbc9-88a1-4123-9305-c6bd8593cdb7,2030-03-19T07:46:17.231Z,selection,selection_lightbulb,whats_wrong,,,,0,0,1,,maybe,,,0,0,,37,999,6422,1565,568
S14,3,3266ffe8-709a-4c1c-9366-c59de71a8b51,3bf1ce46-8da9-42b9-aafb-efe194d964b5,2030-03-19T07:46:30.701Z,diagnostic,diagnostic_codelens,what_does_this_mean,Pylance,,error,3,0,1,solved,,22958,3,4,4,315607671,,,4767,1548,443
S02,3,a3341768-4b5c-4125-aaf5-df361f913ef0,0090f565-299f-4255-8505-230aa9a5025a,2030-03-19T07:47:40.504Z,diagnostic,diagnostic_lightbulb,what_does_this_mean,Pylance,,error,0,0,1,still_stuck,,99731,2,2,2,993507099,,,3388,1671,583
S19,3,f8253727-e530-405f-ba5c-575e1d18e023,4ebbcfc3-3b84-47c1-971e-ccc5435c614c,2030-03-19T07:47:44.991Z,selection,selection_codelens,what_does_this_do,,,,0,0,,solved,,,,0,0,,29,899,2636,1513,547
S14,3,81898cc2-978f-4354-bc92-01cb52c51d8f,3bf1ce46-8da9-42b9-aafb-efe194d964b5,2030-03-19T07:47:58.156Z,diagnostic,diagnostic_codelens,what_does_this_mean,Pylance,reportCallIssue,error,0,0,,solved,,27225,2,0,0,,,,5562,1666,649
S23,3,4c93a4be-554e-4a83-b63f-82154f5d5151,34576f02-220d-4d95-b59c-02300abc8ccb,2030-03-19T07:48:20.966Z,selection,selection_codelens,whats_wrong,,,,2,0,,solved,,,,0,1,,1,34,5702,1940,659
S21,3,6340095d-4661-4448-82fe-b2dbb93af85e,91b1bf0e-eef2-45b1-9550-6cfe94017aa0,2030-03-19T07:49:16.989Z,diagnostic,diagnostic_codelens,what_does_this_mean,Pylance,reportUndefinedVariable,error,0,0,1,solved,,28573,1,2,2,605382085,,,5403,1796,506
