variable,item_id,label_en,label_tr,label_es,category,category_en,kind,level,type,allowed_values,value_labels_en,value_labels_tr,value_labels_es,missing,source_table,source_column,formula_version,page
event_explanation_copied,event.explanation_copied,Copied from the explanation,Açıklamadan kopyaladı,Copió de la explicación,reading,Reading and acting on feedback,raw,event,event,event_type = 'explanation_copied',,,,,events,event_type,,data/reading/copied
event_explanation_copied_level,event.explanation_copied.level,Copied from level,Kopyalanan adım,Nivel copiado,reading,Reading and acting on feedback,raw,payload,text,'L0' | 'L1' | 'L2' | 'L3' | null,L0 = L0 · Decode; L1 = L1 · Locate; L2 = L2 · Concept; L3 = L3 · Fix,L0 = L0 · Çöz; L1 = L1 · Bul; L2 = L2 · Kavram; L3 = L3 · Düzeltme,L0 = L0 · Descifrar; L1 = L1 · Ubicar; L2 = L2 · Concepto; L3 = L3 · Corrección,NULL (empty cell),events,payload->>'level',,data/reading/copied
event_explanation_reopened,event.explanation_reopened,Opened again later,Sonra yeniden açtı,La volvió a abrir,reading,Reading and acting on feedback,raw,event,event,event_type = 'explanation_reopened',,,,,events,event_type,,data/reading/reopened
event_diagnostic_resolved,event.diagnostic_resolved,The error went away,Hata ortadan kalktı,El error desapareció,outcomes,Error outcomes,raw,event,event,event_type = 'diagnostic_resolved',,,,,events,event_type,,data/outcomes/error-gone
event_diagnostic_resolved_msToResolution,event.diagnostic_resolved.msToResolution,Time until the error went away,Hatanın gitmesine kadar geçen süre,Tiempo hasta que el error desapareció,outcomes,Error outcomes,derived,payload,integer (ms),0 or more,,,,,events,payload->>'msToResolution',1.0,data/outcomes/error-gone
event_diagnostic_resolved_msPresent,event.diagnostic_resolved.msPresent,Time the error was present,Hatanın açık kaldığı süre,Tiempo que el error estuvo presente,outcomes,Error outcomes,derived,payload,integer (ms),"0 or more, or absent",,,,NULL (empty cell),events,payload->>'msPresent',1.0,data/outcomes/error-gone
event_diagnostic_resolved_editsWhilePresent,event.diagnostic_resolved.editsWhilePresent,Edits while the error was present,Hata varken yapılan düzenlemeler,Ediciones mientras el error estaba presente,outcomes,Error outcomes,derived,payload,integer,"0 or more, or absent",,,,NULL (empty cell),events,payload->>'editsWhilePresent',1.0,data/outcomes/error-gone
event_file_cleared,event.file_cleared,Files worked through,Hatasız hale getirilen dosyalar,Archivos que quedaron sin errores,outcomes,Error outcomes,raw,event,event,event_type = 'file_cleared',,,,,events,event_type,,data/outcomes/files-worked-through
event_file_cleared_fileName,event.file_cleared.fileName,File,Dosya,Archivo,outcomes,Error outcomes,raw,payload,text,bare file name,,,,,events,payload->>'fileName',,data/outcomes/files-worked-through
event_file_cleared_msWithErrors,event.file_cleared.msWithErrors,Time with errors,Hatalı geçen süre,Tiempo con errores,outcomes,Error outcomes,derived,payload,integer (ms),0 or more,,,,,events,payload->>'msWithErrors',1.0,data/outcomes/files-worked-through
event_file_cleared_editsWhileErrors,event.file_cleared.editsWhileErrors,Edits,Düzenleme,Ediciones,outcomes,Error outcomes,derived,payload,integer,0 or more,,,,,events,payload->>'editsWhileErrors',1.0,data/outcomes/files-worked-through
event_file_cleared_diagnosticsSeen,event.file_cleared.diagnosticsSeen,Errors seen,Görülen hata,Errores vistos,outcomes,Error outcomes,derived,payload,integer,1 or more,,,,,events,payload->>'diagnosticsSeen',1.0,data/outcomes/files-worked-through
event_file_cleared_diagnosticsAsked,event.file_cleared.diagnosticsAsked,Asked about,Sorulan,Preguntados,outcomes,Error outcomes,raw,payload,integer,0 or more,,,,,events,payload->>'diagnosticsAsked',,data/outcomes/files-worked-through
event_run_finished,event.run_finished,Runs,Çalıştırma,Ejecuciones,outcomes,Error outcomes,raw,event,event,event_type = 'run_finished',,,,,events,event_type,,data/outcomes/running-code
event_run_finished_exitCode,event.run_finished.exitCode,Exit code,Çıkış kodu,Código de salida,outcomes,Error outcomes,raw,payload,integer,integer or null,,,,NULL (empty cell),events,payload->>'exitCode',,data/outcomes/running-code
event_run_finished_success,event.run_finished.success,Ended without error,Hatasız bitti,Terminaron sin error,outcomes,Error outcomes,derived,payload,boolean,true | false,,,,,events,payload->>'success',1.0,data/outcomes/running-code
event_question_picker_abandoned,event.question_picker_abandoned,Closed the question picker,Soru seçiciyi kapattı,Cerró el selector de preguntas,asking,Asking for help,raw,event,event,event_type = 'question_picker_abandoned',,,,,events,event_type,,data/asking/question-picker-abandoned
event_question_picker_abandoned_stage,event.question_picker_abandoned.stage,Where it was closed,Nerede kapatıldı,Dónde se cerró,asking,Asking for help,raw,payload,text,preset | free_text,preset = Closed the question list without asking; free_text = Closed the own-question box without asking,preset = Soru listesini sormadan kapattı; free_text = Kendi sorusu kutusunu sormadan kapattı,preset = Cerró la lista de preguntas sin preguntar; free_text = Cerró el cuadro de pregunta propia sin preguntar,,events,payload->>'stage',,data/asking/question-picker-abandoned
event_question_picker_abandoned_triggerSurface,event.question_picker_abandoned.triggerSurface,Where the picker was opened,Seçici nereden açıldı,Desde dónde se abrió,asking,Asking for help,raw,payload,text,selection_codelens | selection_lightbulb | selection_status_bar | selection_keybinding,selection_codelens = Selection: CodeLens; selection_lightbulb = Selection: lightbulb; selection_status_bar = Selection: status bar; selection_keybinding = Selection: shortcut,selection_codelens = Seçim: CodeLens; selection_lightbulb = Seçim: ampul; selection_status_bar = Seçim: durum çubuğu; selection_keybinding = Seçim: kısayol,selection_codelens = Selección: CodeLens; selection_lightbulb = Selección: bombilla; selection_status_bar = Selección: barra de estado; selection_keybinding = Selección: atajo,,events,payload->>'triggerSurface',,data/asking/question-picker-abandoned
event_question_picker_abandoned_selectionLineCount,event.question_picker_abandoned.selectionLineCount,Selected lines,Seçilen satır,Líneas seleccionadas,asking,Asking for help,raw,payload,integer,1 or more,,,,,events,payload->>'selectionLineCount',,data/asking/question-picker-abandoned
event_question_picker_abandoned_selectionCharCount,event.question_picker_abandoned.selectionCharCount,Selected characters,Seçilen karakter,Caracteres seleccionados,asking,Asking for help,raw,payload,integer,1 or more,,,,,events,payload->>'selectionCharCount',,data/asking/question-picker-abandoned
event_request_failed,event.request_failed,Failed requests,Başarısız istekler,Solicitudes fallidas,system,AI service and limits,raw,event,event,event_type = 'request_failed',,,,,events,event_type,,data/system/failed-requests
event_request_failed_kind,event.request_failed.kind,Reason,Neden,Motivo,system,AI service and limits,raw,payload,text,timeout | backend | unknown,timeout = Timed out; backend = Refused by the server; unknown = Other,timeout = Zaman aşımı; backend = Sunucu reddetti; unknown = Diğer,timeout = Tiempo agotado; backend = Rechazada por el servidor; unknown = Otro,,events,payload->>'kind',,data/system/failed-requests
event_request_failed_code,event.request_failed.code,Code,Kod,Código,system,AI service and limits,raw,payload,text,rate_limited | provider_error | provider_timeout | invalid_request | unauthenticated | ... (only when kind = backend),provider_error = AI service error; provider_timeout = AI service too slow; provider_rate_limited = AI service busy; provider_invalid_request = Request refused by the AI service; rate_limited = Usage limit reached; unauthenticated = Not signed in; invalid_request = Invalid request,provider_error = Yapay zekâ hizmeti hatası; provider_timeout = Yapay zekâ hizmeti çok yavaş; provider_rate_limited = Yapay zekâ hizmeti meşgul; provider_invalid_request = Yapay zekâ hizmeti isteği reddetti; rate_limited = Kullanım sınırına ulaşıldı; unauthenticated = Oturum açılmamış; invalid_request = Geçersiz istek,provider_error = Error del servicio de IA; provider_timeout = Servicio de IA demasiado lento; provider_rate_limited = Servicio de IA ocupado; provider_invalid_request = Petición rechazada por el servicio de IA; rate_limited = Límite de uso alcanzado; unauthenticated = Sin sesión iniciada; invalid_request = Petición no válida,,events,payload->>'code',,data/system/failed-requests
event_request_failed_retryAfterSeconds,event.request_failed.retryAfterSeconds,Retry after (s),Yeniden deneme süresi (sn),Reintentar tras (s),system,AI service and limits,raw,payload,integer (s),"0 or more, or absent",,,,NULL (empty cell),events,payload->>'retryAfterSeconds',,data/system/failed-requests
event_feedback_language_changed,event.feedback_language_changed,Feedback language changed,Geri bildirim dili değişti,Cambios de idioma de las explicaciones,accounts,Accounts and consent,raw,event,event,event_type = 'feedback_language_changed',,,,,events,event_type,,data/accounts/feedback-language
event_feedback_language_changed_from,event.feedback_language_changed.from,Previous language,Önceki dil,Idioma anterior,accounts,Accounts and consent,raw,payload,text,en | tr | es,en = English; tr = Turkish; es = Spanish,en = İngilizce; tr = Türkçe; es = İspanyolca,en = Inglés; tr = Turco; es = Español,,events,payload->>'from',,data/accounts/feedback-language
event_feedback_language_changed_to,event.feedback_language_changed.to,New language,Yeni dil,Idioma nuevo,accounts,Accounts and consent,raw,payload,text,en | tr | es,en = English; tr = Turkish; es = Spanish,en = İngilizce; tr = Türkçe; es = İspanyolca,en = Inglés; tr = Turco; es = Español,,events,payload->>'to',,data/accounts/feedback-language
explanations_id,explanations.id,Cache entry id,Önbellek kaydı kimliği,Id de la entrada de caché,technical,Technical fields,raw,column,uuid,generated,,,,,explanations,id,,reference/explanations
explanations_cache_key,explanations.cache_key,Cache key,Önbellek anahtarı,Clave de caché,technical,Technical fields,raw,column,text,SHA-256 hex,,,,,explanations,cache_key,,reference/explanations
explanations_course_id,explanations.course_id,Course id (unused),Ders kimliği (kullanılmıyor),Id de la asignatura (sin uso),technical,Technical fields,raw,column,uuid,always null,,,,NULL (empty cell),explanations,course_id,,reference/explanations
explanations_week_no,explanations.week_no,Course week (unused),Ders haftası (kullanılmıyor),Semana de la asignatura (sin uso),technical,Technical fields,raw,column,integer,always null,,,,NULL (empty cell),explanations,week_no,,reference/explanations
explanations_language,explanations.language,Answer language,Yanıt dili,Idioma de la respuesta,technical,Technical fields,raw,column,text,en | tr | es,en = English; tr = Turkish; es = Spanish,en = İngilizce; tr = Türkçe; es = İspanyolca,en = Inglés; tr = Turco; es = Español,,explanations,language,,reference/explanations
explanations_error_signature,explanations.error_signature,Error message,Hata mesajı,Mensaje de error,technical,Technical fields,raw,column,text,text or null,,,,NULL (empty cell),explanations,error_signature,,reference/explanations
explanations_payload,explanations.payload,Cached hint ladder,Önbellekteki ipucu merdiveni,Escalera de pistas en caché,technical,Technical fields,raw,column,jsonb,same shape as interactions.ladder_payload,,,,,explanations,payload,,reference/explanations
explanations_model_used,explanations.model_used,AI provider,Yapay zekâ sağlayıcısı,Proveedor de IA,technical,Technical fields,raw,column,text,provider id,,,,,explanations,model_used,,reference/explanations
explanations_source,explanations.source,Entry source,Kayıt kaynağı,Origen de la entrada,technical,Technical fields,raw,column,text,generated | error_pack (always 'generated'),,,,,explanations,source,,reference/explanations
explanations_reuse_count,explanations.reuse_count,Times reused,Yeniden kullanım sayısı,Veces reutilizada,system,AI service and limits,raw,column,integer,0 or more,,,,,explanations,reuse_count,,data/system/cache
explanations_created_at,explanations.created_at,Cache entry created,Önbellek kaydı oluşturuldu,Entrada de caché creada,technical,Technical fields,raw,column,timestamptz,timestamp,,,,,explanations,created_at,,reference/explanations
learner_profiles_user_id,learner_profiles.user_id,Student id,Öğrenci kimliği,Id del estudiante,technical,Technical fields,raw,column,uuid,profiles.id,,,,,learner_profiles,user_id,,reference/learner-profiles
learner_profiles_course_id,learner_profiles.course_id,Course id (unused),Ders kimliği (kullanılmıyor),Id de la asignatura (sin uso),technical,Technical fields,raw,column,uuid,always null,,,,NULL (empty cell),learner_profiles,course_id,,reference/learner-profiles
learner_profiles_summary,learner_profiles.summary,Private learner notes,Gizli öğrenci notları,Notas privadas del estudiante,learner,Learner summaries,derived,column,text,"10-500 characters, English, or empty",,,,,learner_profiles,summary,1.0,data/learner/private-notes
learner_profiles_student_summary,learner_profiles.student_summary,AI learning summary,Yapay zekâ öğrenme özeti,Resumen de aprendizaje de IA,learner,Learner summaries,derived,column,text,"20-700 characters, in the feedback language, or empty",,,,,learner_profiles,student_summary,1.0,data/learner/ai-learning-summary
learner_profiles_suggested_practice,learner_profiles.suggested_practice,Suggested practice,Önerilen alıştırma,Práctica sugerida,learner,Learner summaries,derived,column,text,"10-400 characters, in the feedback language, or empty",,,,,learner_profiles,suggested_practice,1.0,data/learner/suggested-practice
learner_profiles_summary_generated_at,learner_profiles.summary_generated_at,Summary written at,Özetin yazıldığı zaman,Momento en que se escribió el resumen,learner,Learner summaries,raw,column,timestamptz,timestamp or null,,,,NULL (empty cell),learner_profiles,summary_generated_at,,data/learner/private-notes
learner_profiles_interactions_since_update,learner_profiles.interactions_since_update,New questions since the summary,Özetten sonraki yeni sorular,Preguntas nuevas desde el resumen,learner,Learner summaries,raw,column,integer,0 or more,,,,,learner_profiles,interactions_since_update,,data/learner/private-notes
learner_profiles_updated_at,learner_profiles.updated_at,Row updated,Satır güncellendi,Fila actualizada,technical,Technical fields,raw,column,timestamptz,timestamp,,,,,learner_profiles,updated_at,,reference/learner-profiles
usage_counters_user_id,usage_counters.user_id,Student id,Öğrenci kimliği,Id del estudiante,technical,Technical fields,raw,column,uuid,profiles.id,,,,,usage_counters,user_id,,reference/usage-counters
usage_counters_window_start,usage_counters.window_start,Hour window,Saat aralığı,Franja horaria,technical,Technical fields,raw,column,timestamptz,start of a UTC hour,,,,,usage_counters,window_start,,reference/usage-counters
usage_counters_requests,usage_counters.requests,Requests,İstekler,Solicitudes,system,AI service and limits,raw,column,integer,0 or more,,,,,usage_counters,requests,,data/system/usage-limits
usage_counters_total_tokens,usage_counters.total_tokens,Tokens,Token,Tokens,system,AI service and limits,raw,column,integer,0 or more,,,,,usage_counters,total_tokens,,data/system/usage-limits
rate_limits_id,rate_limits.id,Single-row key,Tek satır anahtarı,Clave de fila única,technical,Technical fields,raw,column,boolean,always true,,,,,rate_limits,id,,reference/rate-limits
rate_limits_hourly,rate_limits.hourly,Per hour,Saatlik,Por hora,system,AI service and limits,raw,column,integer,1-1000,,,,,rate_limits,hourly,,data/system/usage-limits
rate_limits_daily,rate_limits.daily,Per day (UTC),Günlük (UTC),Por día (UTC),system,AI service and limits,raw,column,integer,"1-10000, not below hourly",,,,,rate_limits,daily,,data/system/usage-limits
rate_limits_updated_at,rate_limits.updated_at,Limits changed at,Sınırların değiştiği zaman,Momento del cambio de límites,technical,Technical fields,raw,column,timestamptz,timestamp,,,,,rate_limits,updated_at,,reference/rate-limits
rate_limits_updated_by,rate_limits.updated_by,Limits changed by,Sınırları değiştiren,Quién cambió los límites,technical,Technical fields,raw,column,text,dashboard username,,,,,rate_limits,updated_by,,reference/rate-limits
concept_vocabulary_id,concept_vocabulary.id,Concept id,Kavram kimliği,Id del concepto,technical,Technical fields,raw,column,text,no rows,,,,,concept_vocabulary,id,,reference/concept-vocabulary
concept_vocabulary_prog_language,concept_vocabulary.prog_language,Programming language,Programlama dili,Lenguaje de programación,technical,Technical fields,raw,column,text,no rows,,,,,concept_vocabulary,prog_language,,reference/concept-vocabulary
concept_vocabulary_label_en,concept_vocabulary.label_en,Concept name (English),Kavram adı (İngilizce),Nombre del concepto (inglés),technical,Technical fields,raw,column,text,no rows,,,,,concept_vocabulary,label_en,,reference/concept-vocabulary
concept_vocabulary_label_tr,concept_vocabulary.label_tr,Concept name (Turkish),Kavram adı (Türkçe),Nombre del concepto (turco),technical,Technical fields,raw,column,text,no rows,,,,,concept_vocabulary,label_tr,,reference/concept-vocabulary
concept_vocabulary_label_es,concept_vocabulary.label_es,Concept name (Spanish),Kavram adı (İspanyolca),Nombre del concepto (español),technical,Technical fields,raw,column,text,no rows,,,,,concept_vocabulary,label_es,,reference/concept-vocabulary
dashboard_admins_id,dashboard.admins.id,Dashboard account id,Panel hesabı kimliği,Id de la cuenta del panel,admin,Dashboard administration,raw,column,uuid,generated,,,,,dashboard.admins,id,,reference/dashboard-accounts
dashboard_admins_username,dashboard.admins.username,Dashboard username,Panel kullanıcı adı,Usuario del panel,admin,Dashboard administration,raw,column,text,"3-32 chars ^[a-z0-9][a-z0-9._-]{2,31}$",,,,,dashboard.admins,username,,reference/dashboard-accounts
dashboard_admins_password_hash,dashboard.admins.password_hash,Password hash,Parola özeti,Hash de la contraseña,admin,Dashboard administration,raw,column,text,bcrypt,,,,,dashboard.admins,password_hash,,reference/dashboard-accounts
dashboard_admins_failed_attempts,dashboard.admins.failed_attempts,Failed sign-in attempts,Başarısız giriş denemeleri,Intentos fallidos de inicio de sesión,admin,Dashboard administration,raw,column,integer,0 or more,,,,,dashboard.admins,failed_attempts,,reference/dashboard-accounts
dashboard_admins_locked_until,dashboard.admins.locked_until,Locked until,Kilitli olduğu zaman,Bloqueada hasta,admin,Dashboard administration,raw,column,timestamptz,timestamp or null (15 min after 5 failures),,,,NULL (empty cell),dashboard.admins,locked_until,,reference/dashboard-accounts
dashboard_admins_last_login_at,dashboard.admins.last_login_at,Last sign-in,Son giriş,Último inicio de sesión,admin,Dashboard administration,raw,column,timestamptz,timestamp or null,,,,NULL (empty cell),dashboard.admins,last_login_at,,reference/dashboard-accounts
dashboard_admins_created_at,dashboard.admins.created_at,Account created,Hesap oluşturuldu,Cuenta creada,admin,Dashboard administration,raw,column,timestamptz,timestamp,,,,,dashboard.admins,created_at,,reference/dashboard-accounts
dashboard_admins_role,dashboard.admins.role,Role,Rol,Rol,admin,Dashboard administration,raw,column,text,admin | viewer,admin = Admin; viewer = Viewer,admin = Yönetici; viewer = İzleyici,admin = Administrador; viewer = Lector,,dashboard.admins,role,,reference/dashboard-accounts
dashboard_admins_must_change_password,dashboard.admins.must_change_password,Must change password,Parola değiştirilmeli,Debe cambiar la contraseña,admin,Dashboard administration,raw,column,boolean,true | false,,,,,dashboard.admins,must_change_password,,reference/dashboard-accounts
dashboard_admins_totp_secret,dashboard.admins.totp_secret,Two-step code secret,İki adımlı kod sırrı,Secreto del código en dos pasos,admin,Dashboard administration,raw,column,text,base32 or null,,,,NULL (empty cell),dashboard.admins,totp_secret,,reference/dashboard-accounts
dashboard_admins_totp_pending_secret,dashboard.admins.totp_pending_secret,Two-step code secret (pending),İki adımlı kod sırrı (bekleyen),Secreto del código en dos pasos (pendiente),admin,Dashboard administration,raw,column,text,base32 or null,,,,NULL (empty cell),dashboard.admins,totp_pending_secret,,reference/dashboard-accounts
dashboard_admins_totp_last_step,dashboard.admins.totp_last_step,Last used code step,Son kullanılan kod adımı,Último paso de código usado,admin,Dashboard administration,raw,column,bigint,30-second step or null,,,,NULL (empty cell),dashboard.admins,totp_last_step,,reference/dashboard-accounts
dashboard_admins_created_by,dashboard.admins.created_by,Created by,Oluşturan,Creada por,admin,Dashboard administration,raw,column,uuid,dashboard.admins.id or null,,,,NULL (empty cell),dashboard.admins,created_by,,reference/dashboard-accounts
dashboard_admins_updated_at,dashboard.admins.updated_at,Account updated,Hesap güncellendi,Cuenta actualizada,admin,Dashboard administration,raw,column,timestamptz,timestamp,,,,,dashboard.admins,updated_at,,reference/dashboard-accounts
dashboard_sessions_token_hash,dashboard.sessions.token_hash,Session token hash,Oturum belirteci özeti,Hash del token de sesión,admin,Dashboard administration,raw,column,text,SHA-256 hex of the bearer token,,,,,dashboard.sessions,token_hash,,reference/dashboard-accounts
dashboard_sessions_admin_id,dashboard.sessions.admin_id,Dashboard account id,Panel hesabı kimliği,Id de la cuenta del panel,admin,Dashboard administration,raw,column,uuid,dashboard.admins.id,,,,,dashboard.sessions,admin_id,,reference/dashboard-accounts
dashboard_sessions_created_at,dashboard.sessions.created_at,Session created,Oturum oluşturuldu,Sesión creada,admin,Dashboard administration,raw,column,timestamptz,timestamp,,,,,dashboard.sessions,created_at,,reference/dashboard-accounts
dashboard_sessions_expires_at,dashboard.sessions.expires_at,Session expires,Oturumun sona ereceği zaman,Caducidad de la sesión,admin,Dashboard administration,raw,column,timestamptz,created_at + 12 hours,,,,,dashboard.sessions,expires_at,,reference/dashboard-accounts
dashboard_audit_log_id,dashboard.audit_log.id,Log entry id,Kayıt kimliği,Id de la entrada,admin,Dashboard administration,raw,column,bigint,identity,,,,,dashboard.audit_log,id,,reference/dashboard-accounts
dashboard_audit_log_admin_id,dashboard.audit_log.admin_id,Dashboard account id,Panel hesabı kimliği,Id de la cuenta del panel,admin,Dashboard administration,raw,column,uuid,dashboard.admins.id or null,,,,NULL (empty cell),dashboard.audit_log,admin_id,,reference/dashboard-accounts
dashboard_audit_log_admin_username,dashboard.audit_log.admin_username,Dashboard username,Panel kullanıcı adı,Usuario del panel,admin,Dashboard administration,raw,column,text,copied name,,,,,dashboard.audit_log,admin_username,,reference/dashboard-accounts
dashboard_audit_log_action,dashboard.audit_log.action,Action,Eylem,Acción,admin,Dashboard administration,raw,column,text,login | login_failed | login_locked | logout | password_changed | totp_enabled | totp_disabled | account_created | account_role_changed | account_password_reset | account_totp_reset | account_deleted | student_reset | student_deleted | export | rate_limits_changed | student_password_changed,,,,,dashboard.audit_log,action,,reference/dashboard-accounts
dashboard_audit_log_target_type,dashboard.audit_log.target_type,Target type,Hedef türü,Tipo de destino,admin,Dashboard administration,raw,column,text,student | account | null,,,,NULL (empty cell),dashboard.audit_log,target_type,,reference/dashboard-accounts
dashboard_audit_log_target_id,dashboard.audit_log.target_id,Target id,Hedef kimliği,Id del destino,admin,Dashboard administration,raw,column,text,uuid as text or null,,,,NULL (empty cell),dashboard.audit_log,target_id,,reference/dashboard-accounts
dashboard_audit_log_target_label,dashboard.audit_log.target_label,Target label,Hedef etiketi,Etiqueta del destino,admin,Dashboard administration,raw,column,text,username or null,,,,NULL (empty cell),dashboard.audit_log,target_label,,reference/dashboard-accounts
dashboard_audit_log_details,dashboard.audit_log.details,Details,Ayrıntılar,Detalles,admin,Dashboard administration,raw,column,jsonb,object,,,,,dashboard.audit_log,details,,reference/dashboard-accounts
dashboard_audit_log_created_at,dashboard.audit_log.created_at,Log entry time,Kayıt zamanı,Hora de la entrada,admin,Dashboard administration,raw,column,timestamptz,timestamp,,,,,dashboard.audit_log,created_at,,reference/dashboard-accounts
storage_course_materials,storage.course-materials,"Storage bucket ""course-materials"" (unused)","""course-materials"" depolama alanı (kullanılmıyor)",Almacenamiento «course-materials» (sin uso),technical,Technical fields,raw,storage,bucket,"private bucket, nothing reads it",,,,,storage.buckets,course-materials,,reference/functions
metric_online_now,metric.online_now,Online now,Şu an çevrimiçi,En línea ahora,indicators,Class and student indicators,derived,metric,,,,,,,,,1.0,data/indicators/online-and-active
metric_active_students,metric.active_students,Active students,Aktif öğrenci,Estudiantes activos,indicators,Class and student indicators,derived,metric,,,,,,,,,1.0,data/indicators/online-and-active
metric_new_students,metric.new_students,New students,Yeni öğrenci,Estudiantes nuevos,indicators,Class and student indicators,derived,metric,,,,,,,,,1.0,data/indicators/online-and-active
metric_questions,metric.questions,Questions,Sorular,Preguntas,indicators,Class and student indicators,derived,metric,,,,,,,,,1.0,data/indicators/questions-over-time
metric_questions_total,metric.questions_total,All-time questions,Toplam soru,Preguntas totales,indicators,Class and student indicators,derived,metric,,,,,,,,,1.0,data/indicators/questions-over-time
metric_active_coding_time,metric.active_coding_time,Active coding time,Aktif kodlama süresi,Tiempo activo programando,activity,Coding activity,derived,metric,,,,,,,,,1.0,data/activity/active-time
metric_sessions,metric.sessions,Sessions,Oturumlar,Sesiones,activity,Coding activity,derived,metric,,,,,,,,,1.0,data/activity/sessions
metric_session_length_avg,metric.session_length_avg,Session length (avg.),Oturum süresi (ort.),Duración de la sesión (media),activity,Coding activity,derived,metric,,,,,,,,,1.0,data/activity/sessions
metric_breaks_avg,metric.breaks_avg,Breaks per session (avg.),Oturum başına mola (ort.),Pausas por sesión (media),activity,Coding activity,derived,metric,,,,,,,,,1.0,data/activity/breaks
metric_active_days,metric.active_days,Active days,Aktif gün,Días activos,activity,Coding activity,derived,metric,,,,,,,,,1.0,data/activity/active-days
metric_last_active,metric.last_active,Last active,Son etkinlik,Última actividad,indicators,Class and student indicators,derived,metric,,,,,,,,,1.0,data/indicators/online-and-active
metric_sessions_without_help_pct,metric.sessions_without_help_pct,Sessions without help,Yardımsız oturumlar,Sesiones sin ayuda,indicators,Class and student indicators,derived,metric,,,,,,,,,1.0,data/indicators/sessions-without-help
metric_hint_enough_pct,metric.hint_enough_pct,Hint was enough,İpucu yeterli oldu,Bastó con la pista,indicators,Class and student indicators,derived,metric,,,,,,,,,1.0,data/indicators/hint-was-enough
metric_hint_depth_distribution,metric.hint_depth_distribution,How far students went into the hints,Öğrenciler ipuçlarında ne kadar ilerledi,Hasta dónde llegaron en las pistas,ladder,Hint ladder,derived,metric,,,,,,,,,1.0,data/ladder/hint-depth
metric_error_gone_pct,metric.error_gone_pct,Error gone after explaining,Açıklamadan sonra hata gitti,Error resuelto tras explicar,outcomes,Error outcomes,derived,metric,,,,,,,,,1.0,data/outcomes/error-gone
metric_error_gone_by_level,metric.error_gone_by_level,Did the error go away?,Hata ortadan kalktı mı?,¿Desapareció el error?,outcomes,Error outcomes,derived,metric,,,,,,,,,1.0,data/outcomes/error-gone
metric_fixed_unaided,metric.fixed_unaided,Fixed without asking,Sormadan düzeltilen,Corregidos sin preguntar,outcomes,Error outcomes,derived,metric,,,,,,,,,1.0,data/outcomes/fixed-without-asking
metric_edits_per_unaided_fix,metric.edits_per_unaided_fix,Edits per unaided fix (avg.),Yardımsız düzeltme başına düzenleme (ort.),Ediciones por corrección sin ayuda (media),outcomes,Error outcomes,derived,metric,,,,,,,,,1.0,data/outcomes/edits-per-unaided-fix
metric_rated_helpful_pct,metric.rated_helpful_pct,Rated helpful,Faydalı bulunan,Valorado útil,self-report,Student self-report,derived,metric,,,,,,,,,1.0,data/self-report/helpful-rating
metric_ai_response_time_avg,metric.ai_response_time_avg,AI response time,Yapay zekâ yanıt süresi,Tiempo de respuesta de la IA,system,AI service and limits,derived,metric,,,,,,,,,1.0,data/system/response-time
metric_response_time_median,metric.response_time_median,Response time (median),Yanıt süresi (medyan),Tiempo de respuesta (mediana),system,AI service and limits,derived,metric,,,,,,,,,1.0,data/system/response-time
metric_failed_requests,metric.failed_requests,Failed requests,Başarısız istekler,Solicitudes fallidas,system,AI service and limits,derived,metric,,,,,,,,,1.0,data/system/failed-requests
metric_failure_rate,metric.failure_rate,Failure rate,Hata oranı,Tasa de fallos,system,AI service and limits,derived,metric,,,,,,,,,1.0,data/system/failed-requests
metric_cache_rate,metric.cache_rate,Answered from cache,Önbellekten yanıtlanan,Respondido desde caché,system,AI service and limits,derived,metric,,,,,,,,,1.0,data/system/cache
metric_tokens_used,metric.tokens_used,Tokens used,Kullanılan token,Tokens usados,system,AI service and limits,derived,metric,,,,,,,,,1.0,data/system/tokens
metric_quota_today,metric.quota_today,Usage limits today,Bugünkü kullanım sınırları,Límites de uso hoy,system,AI service and limits,derived,metric,,,,,,,,,1.0,data/system/usage-limits
metric_needs_attention,metric.needs_attention,Needs attention,Dikkat gerektirenler,Requieren atención,indicators,Class and student indicators,derived,metric,,,,,,,,,1.0,data/indicators/needs-attention
metric_pct_offers_taken,metric.pct_offers_taken,Asked for help when offered,Teklif edilince yardım istedi,Pidió ayuda cuando se le ofreció,indicators,Class and student indicators,derived,metric,,,,,,,,,1.0,data/indicators/independence-trend
metric_pct_hint_enough_weekly,metric.pct_hint_enough_weekly,Hint was enough (weekly),İpucu yeterli oldu (haftalık),Bastó con la pista (semanal),indicators,Class and student indicators,derived,metric,,,,,,,,,1.0,data/indicators/independence-trend
metric_pct_sessions_without_help_weekly,metric.pct_sessions_without_help_weekly,Sessions without help (weekly),Yardımsız oturumlar (haftalık),Sesiones sin ayuda (semanal),indicators,Class and student indicators,derived,metric,,,,,,,,,1.0,data/indicators/independence-trend
metric_repeat_errors,metric.repeat_errors,Asked about the same error again,Aynı hatayı yeniden sordu,Preguntó otra vez por el mismo error,before,Before asking,derived,metric,,,,,,,,,1.0,data/before/repeated-error
metric_quick_repeats,metric.quick_repeats,Asked again within 10 minutes,10 dakika içinde yeniden sordu,Volvió a preguntar en menos de 10 minutos,before,Before asking,derived,metric,,,,,,,,,1.0,data/before/time-since-same-error
